时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Roll,Pitch,Yaw,MagDisturb,Temp
17:50:49.802,17:50:49.802,2636.021,0x82,0x00,True,0.88,-3.11,-39.02,0,47.65
17:50:59.802,17:50:59.802,2646.021,0x82,0x00,True,0.85,-3.06,-39.02,0,47.69
17:51:09.802,17:51:09.802,2656.021,0x82,0x00,True,0.86,-3.12,-39.02,0,47.73
17:51:19.812,17:51:19.812,2666.031,0x82,0x00,True,0.87,-3.14,-39.02,0,47.66
17:51:29.822,17:51:29.822,2676.041,0x82,0x00,True,0.87,-3.12,-39.02,0,47.75
17:51:39.813,17:51:39.813,2686.032,0x82,0x00,True,0.92,-3.12,-39.02,0,47.74
17:51:49.812,17:51:49.812,2696.031,0x82,0x00,True,0.91,-3.11,-39.02,0,47.75
17:51:59.822,17:51:59.822,2706.041,0x82,0x00,True,0.88,-3.08,-39.02,0,47.79
17:52:09.822,17:52:09.822,2716.041,0x82,0x00,True,0.89,-3.06,-39.03,0,47.7
17:52:19.822,17:52:19.822,2726.041,0x82,0x00,True,0.9,-3.11,-39.03,0,47.79
17:52:29.823,17:52:29.823,2736.042,0x82,0x00,True,0.93,-3.06,-39.03,0,47.72
17:52:39.832,17:52:39.832,2746.051,0x82,0x00,True,0.88,-3.02,-39.03,0,47.75
