时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,MagNorm,Mx,My,Mz
17:33:13.289,17:33:13.289,3532.949,0x8A,0x00,True,4,3.18,3.79,-0.46
17:33:43.305,17:33:43.305,3562.965,0x8A,0x00,True,5,3.21,3.81,-0.41
17:34:13.315,17:34:13.315,3592.975,0x8A,0x00,True,5,3.21,3.84,-0.4
17:34:43.350,17:34:43.350,3623.01,0x8A,0x00,True,4,3.18,3.81,-0.37
17:35:13.371,17:35:13.371,3653.031,0x8A,0x00,True,5,3.22,3.84,-0.41
17:35:43.380,17:35:43.380,3683.04,0x8A,0x00,True,4,3.19,3.82,-0.37
17:36:13.405,17:36:13.405,3713.065,0x8A,0x00,True,4,3.2,3.79,-0.42
17:36:43.425,17:36:43.425,3743.085,0x8A,0x00,True,5,3.21,3.8,-0.41
17:37:13.445,17:37:13.445,3773.105,0x8A,0x00,True,4,3.18,3.78,-0.42
17:37:43.445,17:37:43.445,3803.105,0x8A,0x00,True,4,3.18,3.8,-0.41
17:38:13.465,17:38:13.465,3833.125,0x8A,0x00,True,5,3.2,3.83,-0.42
17:38:43.476,17:38:43.476,3863.136,0x8A,0x00,True,5,3.21,3.81,-0.4
17:39:13.490,17:39:13.490,3893.15,0x8A,0x00,True,5,3.18,3.83,-0.42
17:39:43.521,17:39:43.521,3923.181,0x8A,0x00,True,4,3.19,3.77,-0.38
17:40:13.535,17:40:13.535,3953.195,0x8A,0x00,True,4,3.18,3.81,-0.41
17:40:43.540,17:40:43.540,3983.2,0x8A,0x00,True,4,3.18,3.8,-0.43
17:41:13.565,17:41:13.565,4013.225,0x8A,0x00,True,5,3.21,3.81,-0.41
17:41:43.580,17:41:43.580,4043.24,0x8A,0x00,True,4,3.17,3.81,-0.41
17:42:13.590,17:42:13.590,4073.25,0x8A,0x00,True,5,3.19,3.85,-0.43
17:42:43.590,17:42:43.590,4103.25,0x8A,0x00,True,5,3.16,3.85,-0.43
17:43:13.615,17:43:13.615,4133.275,0x8A,0x00,True,5,3.2,3.84,-0.4
17:43:43.630,17:43:43.630,4163.29,0x8A,0x00,True,5,3.21,3.83,-0.43
17:44:13.630,17:44:13.630,4193.29,0x8A,0x00,True,4,3.19,3.81,-0.38
17:44:43.666,17:44:43.666,4223.326,0x8A,0x00,True,5,3.17,3.85,-0.43
17:45:13.684,17:45:13.684,4253.344,0x8A,0x00,True,4,3.17,3.82,-0.39
17:45:43.686,17:45:43.686,4283.346,0x8A,0x00,True,4,3.18,3.8,-0.45
17:46:13.700,17:46:13.700,4313.36,0x8A,0x00,True,4,3.17,3.82,-0.4
17:46:43.705,17:46:43.705,4343.365,0x8A,0x00,True,4,3.16,3.83,-0.44
17:47:13.735,17:47:13.735,4373.395,0x8A,0x00,True,4,3.14,3.82,-0.39
17:47:43.750,17:47:43.750,4403.41,0x8A,0x00,True,4,3.18,3.82,-0.39
17:48:13.766,17:48:13.766,4433.426,0x8A,0x00,True,4,3.18,3.81,-0.36
17:48:43.785,17:48:43.785,4463.445,0x8A,0x00,True,4,3.16,3.8,-0.38
17:49:13.790,17:49:13.790,4493.45,0x8A,0x00,True,5,3.2,3.81,-0.38
17:49:43.811,17:49:43.811,4523.471,0x8A,0x00,True,5,3.16,3.84,-0.42
17:50:13.841,17:50:13.841,4553.501,0x8A,0x00,True,5,3.17,3.85,-0.39
17:50:43.840,17:50:43.840,4583.5,0x8A,0x00,True,5,3.17,3.86,-0.43
17:51:13.850,17:51:13.850,4613.51,0x8A,0x00,True,4,3.2,3.77,-0.4
17:51:43.865,17:51:43.865,4643.525,0x8A,0x00,True,5,3.19,3.82,-0.42
17:52:13.870,17:52:13.870,4673.53,0x8A,0x00,True,5,3.22,3.8,-0.41
17:52:43.900,17:52:43.900,4703.56,0x8A,0x00,True,5,3.2,3.81,-0.42
17:53:13.921,17:53:13.921,4733.581,0x8A,0x00,True,4,3.17,3.8,-0.4
17:53:43.940,17:53:43.940,4763.6,0x8A,0x00,True,5,3.2,3.86,-0.39
17:54:13.950,17:54:13.950,4793.61,0x8A,0x00,True,4,3.2,3.8,-0.39
17:54:43.980,17:54:43.980,4823.64,0x8A,0x00,True,5,3.21,3.81,-0.41
17:55:14.000,17:55:14.000,4853.66,0x8A,0x00,True,4,3.2,3.8,-0.41
17:55:44.016,17:55:44.016,4883.676,0x8A,0x00,True,4,3.2,3.78,-0.37
17:56:14.035,17:56:14.035,4913.695,0x8A,0x00,True,5,3.2,3.82,-0.44
17:56:44.035,17:56:44.035,4943.695,0x8A,0x00,True,4,3.19,3.79,-0.43
17:57:14.075,17:57:14.075,4973.735,0x8A,0x00,True,4,3.17,3.81,-0.41
17:57:44.100,17:57:44.100,5003.76,0x8A,0x00,True,4,3.19,3.81,-0.41
17:58:14.101,17:58:14.101,5033.761,0x8A,0x00,True,5,3.17,3.84,-0.42
17:58:44.125,17:58:44.125,5063.785,0x8A,0x00,True,4,3.19,3.81,-0.41
17:59:14.150,17:59:14.150,5093.81,0x8A,0x00,True,4,3.16,3.82,-0.41
17:59:44.165,17:59:44.165,5123.825,0x8A,0x00,True,4,3.17,3.81,-0.41
18:00:14.200,18:00:14.200,5153.86,0x8A,0x00,True,5,3.21,3.81,-0.42
18:00:44.213,18:00:44.213,5183.873,0x8A,0x00,True,5,3.18,3.83,-0.44
18:01:14.235,18:01:14.235,5213.895,0x8A,0x00,True,4,3.17,3.81,-0.43
18:01:44.245,18:01:44.245,5243.905,0x8A,0x00,True,4,3.17,3.81,-0.39
18:02:14.265,18:02:14.265,5273.925,0x8A,0x00,True,5,3.19,3.83,-0.45
18:02:44.300,18:02:44.300,5303.96,0x8A,0x00,True,4,3.19,3.8,-0.41
18:03:14.310,18:03:14.310,5333.97,0x8A,0x00,True,4,3.19,3.8,-0.42
18:03:44.335,18:03:44.335,5363.995,0x8A,0x00,True,4,3.2,3.81,-0.41
18:04:14.335,18:04:14.335,5393.995,0x8A,0x00,True,5,3.24,3.81,-0.41
18:04:44.351,18:04:44.351,5424.011,0x8A,0x00,True,4,3.18,3.82,-0.41
18:05:14.380,18:05:14.380,5454.04,0x8A,0x00,True,4,3.17,3.8,-0.43
18:05:44.413,18:05:44.413,5484.073,0x8A,0x00,True,4,3.17,3.81,-0.38
18:06:14.415,18:06:14.415,5514.075,0x8A,0x00,True,5,3.18,3.83,-0.4
18:06:44.430,18:06:44.430,5544.09,0x8A,0x00,True,4,3.17,3.8,-0.42
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.17,3.8,-0.46
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.17,3.8,-0.44
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.15,3.78,-0.5
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.13,3.8,-0.43
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.15,3.8,-0.46
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.16,3.77,-0.48
18:56:05.588,18:56:05.588,8505.248,0x8A,0x00,True,4,3.14,3.81,-0.46
18:56:15.574,18:56:15.574,8515.234,0x8A,0x00,True,4,3.16,3.83,-0.45
18:56:45.584,18:56:45.584,8545.244,0x8A,0x00,True,4,3.14,3.8,-0.48
18:57:15.569,18:57:15.569,8575.229,0x8A,0x00,True,4,3.18,3.79,-0.47
18:57:45.579,18:57:45.579,8605.239,0x8A,0x00,True,4,3.16,3.78,-0.46
18:58:15.555,18:58:15.555,8635.215,0x8A,0x00,True,4,3.14,3.79,-0.44
18:58:45.569,18:58:45.569,8665.229,0x8A,0x00,True,4,3.12,3.8,-0.44
18:59:15.550,18:59:15.550,8695.21,0x8A,0x00,True,4,3.14,3.83,-0.49
18:59:45.545,18:59:45.545,8725.205,0x8A,0x00,True,4,3.16,3.83,-0.49
19:00:15.545,19:00:15.545,8755.205,0x8A,0x00,True,4,3.17,3.8,-0.43
19:00:45.535,19:00:45.535,8785.195,0x8A,0x00,True,4,3.16,3.8,-0.49
19:01:15.545,19:01:15.545,8815.205,0x8A,0x00,True,4,3.13,3.82,-0.48
19:01:45.535,19:01:45.535,8845.195,0x8A,0x00,True,4,3.11,3.81,-0.49
19:02:15.535,19:02:15.535,8875.195,0x8A,0x00,True,4,3.15,3.8,-0.46
19:02:45.520,19:02:45.520,8905.18,0x8A,0x00,True,4,3.17,3.8,-0.49
19:03:15.510,19:03:15.510,8935.17,0x8A,0x00,True,4,3.14,3.83,-0.53
19:03:45.510,19:03:45.510,8965.17,0x8A,0x00,True,4,3.14,3.81,-0.49
19:04:15.495,19:04:15.495,8995.155,0x8A,0x00,True,4,3.18,3.81,-0.51
19:04:45.475,19:04:45.475,9025.135,0x8A,0x00,True,4,3.12,3.8,-0.52
19:05:15.485,19:05:15.485,9055.145,0x8A,0x00,True,4,3.17,3.79,-0.48
19:05:45.470,19:05:45.470,9085.13,0x8A,0x00,True,4,3.17,3.79,-0.49
19:06:15.470,19:06:15.470,9115.13,0x8A,0x00,True,4,3.16,3.79,-0.46
19:06:45.460,19:06:45.460,9145.12,0x8A,0x00,True,4,3.14,3.82,-0.46
19:07:15.455,19:07:15.455,9175.115,0x8A,0x00,True,4,3.17,3.79,-0.51
19:07:45.455,19:07:45.455,9205.115,0x8A,0x00,True,4,3.17,3.81,-0.52
19:08:15.425,19:08:15.425,9235.085,0x8A,0x00,True,4,3.18,3.81,-0.5
19:08:45.439,19:08:45.439,9265.099,0x8A,0x00,True,4,3.14,3.82,-0.44
19:09:15.415,19:09:15.415,9295.075,0x8A,0x00,True,4,3.16,3.81,-0.48
19:09:45.420,19:09:45.420,9325.08,0x8A,0x00,True,4,3.17,3.79,-0.46
19:10:15.400,19:10:15.400,9355.06,0x8A,0x00,True,4,3.14,3.79,-0.48
19:10:45.376,19:10:45.376,9385.036,0x8A,0x00,True,4,3.17,3.8,-0.51
19:11:15.385,19:11:15.385,9415.045,0x8A,0x00,True,4,3.16,3.78,-0.45
